Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado,Año,Mes,Fecha_Pub_DOF,Clave ciudad,Nombre ciudad,División,Grupo,Clase,Subclase,Clave genérico,Genérico,Consecutivo,Especificación,Precio promedio,Cantidad,Unidad,Estatus
2015,21,Puebla,111,Huauchinango,8,Ahuazotepec,4,Bovino,6,Leche,858.66,0,5.41,4644.722,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,1,"SANTA CLARA, PASTEURIZADA, ENTERA, BOTE DE 1.89 LT",15.61,1,LT,
2015,21,Puebla,111,Huauchinango,49,Chiconcuautla,4,Bovino,6,Leche,160.22,0,5.44,871.298,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,2,"LALA, ULTRAPASTEURIZADA, DESLACTOSADA, BOTE DE 1 LT",17.05,1,LT,
2015,21,Puebla,111,Huauchinango,57,Honey,4,Bovino,6,Leche,224.24,0,5.44,1219.915,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,3,"LECHE Y PAN, ULTRAPASTEURIZADA, 12 BOTES DE 1 LT",11,1,LT,
2015,21,Puebla,111,Huauchinango,64,Francisco Z. Mena,4,Bovino,6,Leche,846,0,5.41,4576.617,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,4,"PARMALAT, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",15,1,LT,
2015,21,Puebla,111,Huauchinango,68,Hermenegildo Galeana,4,Bovino,6,Leche,656.81,0,5.34,3508.849,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,5,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1.86 LT",16.45,1,LT,
2015,21,Puebla,111,Huauchinango,71,Huauchinango,4,Bovino,6,Leche,476.46,0,5.36,2552.386,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,6,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",17,1,LT,
2015,21,Puebla,111,Huauchinango,86,Jalpan,4,Bovino,6,Leche,315.72,0,5.42,1709.65,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,7,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",15.9,1,LT,
2015,21,Puebla,111,Huauchinango,89,Jopala,4,Bovino,6,Leche,83.145,0,5.37,446.468,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,8,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",18,1,LT,
2015,21,Puebla,111,Huauchinango,91,Juan Galindo,4,Bovino,6,Leche,90.8,0,5.42,491.938,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,9,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1 LT",15.1,1,LT,
2015,21,Puebla,111,Huauchinango,100,Naupan,4,Bovino,6,Leche,165.02,0,5.4,891.619,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,10,"ALPURA, PASTEURIZADA, CLASICA, ENTERA, BOTE DE 1 LT",15,1,LT,
